hp_id,symbol,security_id,fill_date,fill_close,prev_date,prev_close,prev_source,next_date,next_close,next_source,vs_ref_pct,neighbors_consistent,ca_adj_confirmed,ca_note,post_fill_cas
462269,MASFIN,1162,2020-05-06,188.93,,,,2024-01-01,870.95,upload,-78.31,True,True,LIKELY adjusted (ratio≈4.61); post-fill CA factor=0.3333 expected≈290.32; fill=188.93; implied_ref/fill=4.61; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462270,MASFIN,1162,2021-07-05,281.13,,,,2024-01-01,870.95,upload,-67.72,True,True,CONFIRMED adjusted: fill≈ref×0.3333 from BONUS 2@2024-02-22,BONUS 2@2024-02-22
462271,MASFIN,1162,2021-07-07,285.63,,,,2024-01-01,870.95,upload,-67.2,True,True,CONFIRMED adjusted: fill≈ref×0.3333 from BONUS 2@2024-02-22,BONUS 2@2024-02-22
462272,MASFIN,1162,2021-09-14,261.83,,,,2024-01-01,870.95,upload,-69.94,True,True,CONFIRMED adjusted: fill≈ref×0.3333 from BONUS 2@2024-02-22,BONUS 2@2024-02-22
462273,MASFIN,1162,2021-10-26,252.62,,,,2024-01-01,870.95,upload,-70.99,True,False,post-fill CA factor=0.3333 expected≈290.32; fill=252.62; implied_ref/fill=3.45; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462274,MASFIN,1162,2022-06-15,175.7,,,,2024-01-01,870.95,upload,-79.83,True,True,LIKELY adjusted (ratio≈4.96); post-fill CA factor=0.3333 expected≈290.32; fill=175.70; implied_ref/fill=4.96; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462276,MAZDOCK,1173,2020-12-15,95.53,,,,2025-10-28,2773.0,cron,-96.55,True,False,no post-fill dilutive CA on file,
462277,MEDANTA,1180,2022-11-14,32.55,,,,2022-11-16,415.3,upload,-92.16,True,False,no post-fill dilutive CA on file,
462280,MOTILALOFS,1225,2018-08-06,229.94,,,,2025-10-28,1085.1,cron,-78.81,True,True,LIKELY adjusted (implied factor≈4.72) but no matching SPLIT/BONUS in corporate_actions,
462281,MOTILALOFS,1225,2019-01-09,171.55,,,,2025-10-28,1085.1,cron,-84.19,True,False,no post-fill dilutive CA on file,
462282,MOTILALOFS,1225,2019-03-01,142.04,,,,2025-10-28,1085.1,cron,-86.91,True,False,no post-fill dilutive CA on file,
462283,MOTILALOFS,1225,2019-11-01,173.01,,,,2025-10-28,1085.1,cron,-84.06,True,False,no post-fill dilutive CA on file,
462284,MPHASIS,1228,2023-01-05,2013.4,,,,2025-10-28,2833.0,cron,-28.93,True,True,LIKELY adjusted (implied factor≈1.41) but no matching SPLIT/BONUS in corporate_actions,
462286,MSTCLTD,1233,2021-03-19,305.25,,,,2025-10-28,531.85,cron,-42.61,True,False,no post-fill dilutive CA on file,
462287,MSTCLTD,1233,2021-11-10,397.95,,,,2025-10-28,531.85,cron,-25.18,True,True,LIKELY adjusted (implied factor≈1.34) but no matching SPLIT/BONUS in corporate_actions,
462288,MTARTECH,1235,2023-01-05,1619.05,,,,2025-10-28,2281.0,cron,-29.02,True,True,LIKELY adjusted (implied factor≈1.41) but no matching SPLIT/BONUS in corporate_actions,
462290,MUTHOOTFIN,1247,2024-01-01,1466.0,,,,2025-10-28,3173.3,cron,-53.8,True,True,LIKELY adjusted (implied factor≈2.16) but no matching SPLIT/BONUS in corporate_actions,
462292,NAUKRI,1264,2019-05-01,390.73,2019-04-30,1933.25,upload,2019-05-02,1953.65,upload,-79.9,True,True,CONFIRMED adjusted: fill≈ref×0.2 from SPLIT 5:1@2025-05-07,SPLIT 5:1@2025-05-07
462293,NAUKRI,1264,2021-03-11,960.72,2021-03-10,4869.8,upload,2021-03-12,4803.6,upload,-80.14,True,True,CONFIRMED adjusted: fill≈ref×0.2 from SPLIT 5:1@2025-05-07,SPLIT 5:1@2025-05-07
462298,NESTLEIND,1286,2021-03-11,836.12,2021-03-10,16931.45,upload,2021-03-12,16722.45,upload,-95.03,True,True,CONFIRMED adjusted: fill≈ref×0.05 from SPLIT 10:1@2024-01-05; BONUS 1@2025-08-08,SPLIT 10:1@2024-01-05; BONUS 1@2025-08-08
462301,NMDC,1315,2016-09-27,35.43,,,,2025-10-28,74.61,cron,-52.51,True,True,LIKELY adjusted (implied factor≈2.11) but no matching SPLIT/BONUS in corporate_actions,
462302,NMDC,1315,2016-10-04,36.95,,,,2025-10-28,74.61,cron,-50.48,True,True,LIKELY adjusted (implied factor≈2.02) but no matching SPLIT/BONUS in corporate_actions,
